at,score,content
2025-02-12 21:12:28,1,"Apk nya ngga banget, pertama kali belanja lewat alfagift bakal memudahkan ternyata ngga. Udah pesan dan bayar lunas diawal dengan pengiriman 1 jam setelah pembayaran ga menjamin pelayanan bakal dipermudah, malah dibuat nunggu hampir 2 jam. Sampe harus ngadu dulu ke customer service nya baru ada konfirmasi, kalau pelayanan nya belum maksimal atau kendala harusnya bilang dari awal ga harus buat saya buang-buang waktu nunggu. Apa karna saya belanja sedikit makanya pelayanan nya kaya gtu. Ga worthit"
2025-02-13 15:41:57,1,"Baru kali ini dikecewain sejadi jadinya sama nih aplikasi, top up saldo gopay gak masuk pas bayar sudah sukses saldo terpotong, tiba tiba pas dirincian nomor yang saya top up berubah, kecewa berat, sudah chat cs lewat email jawabannya mengecewakan malah tiba tiba ditutup ticketnya, padahal kendalanya belum diatasi juga, Rating 1 pelayanannya, chat cs juga berasa percuma yang jawab bot, kecewaaaaaaa"
2025-02-11 15:13:46,5,"Aplikasi yang sangat bermanfaat untuk kebutuhan belanja harian. Bisa update promo, belanja online kalo lagi mager, tau lokasi toko terdekat dengan fasilitasnya (ATM, Wifi, dll), pengumpulan point, dapat voucher dan lebih banyak lagi👍#semuapastidapat#belanjajadimudah"
2025-02-13 21:05:05,1,Mohon ya perbaiki lagi untuk metode pembayaran nya.. kembalikan seperti dulu yang ga harus ada saldo sama sekali juga bisa melihat berapa jumlah pembayaran dan bisa ganti metodenya sekarang lebih ribet dan memperhambat dengan adanya fitur hungkan!!!
2025-02-13 07:47:51,5,"Banyak promo, Barang lengkap, dan pastinya kalo pas mager kalian bisa scroll dan langsung di antar sampai depan pintu apalagi pas musim hujan, sangat recommended banget untuk membantu kita kalo butuh apa apa mendadak."
2025-02-11 10:48:06,5,"Memudahkan saya berbelanja Pembayarannya mudah, produk lengkap, banyak promo Pelayanan ramah,tepat waktu,gratis ongkir jg tanpa minimal belanja.teruskan y alfagift Awas aja kalo lama2 ada biaya ongkirnya karena udah rame Jangan juga ada minimal belanja baru gratis ongkir.jangan gitu ya Terimakasih"
2025-01-29 17:32:18,2,"Aplikasi bagus, promo oke, sangat membantu. Sayangnya tidak bisa pilih toko mana yang bisa mengirim ke tempat kita. Toko yang selalu mengirim ke tempat saya selalu kurang barang. Percuma aja banyak promo tapi barang selalu kurang. Tolong segera di atasi alfagift. Masalah ini sering terjadi setiap saya order pengiriman ke rumah. Padahal di sekitar rumah saya banyak Alfamart yang menyediakan jasa delivery, tapi saya selalu dapat Alfamart cabang itu, dan mereka selalu kurang barang!"
2025-01-29 17:35:54,2,"Halo saya mau menyampaikan keluhan pengiriman, saya pilih pengiriman maksimal kirim 1 jam tapi sampe di saya hampir 4 jam nunggu, engga ada konfirmasi apapun. Tolong di perbaiki sistem pengirimannya. dulu bener tepat waktu pengiriman 1 jam sekarang lama banget hampir 4 jam gini padahal pilihnya yg 1 jam sampai, kalaupun toko sedang ramai harusnya ada konfirmasi dahulu. Untuk detail toko nya saya tidak akan beri tahu, tetapi tolong evaluasi sistem pengirimannya terimakasih"
2025-02-09 21:45:03,1,Aplikasi jadi sering eror. Notif terkirimnya parah. Udah gt. Kurir internalnya suka ga konfirmasi kalo dah sampe. Suka ngaret. Max 1 jam. Tapi ujungnya bisa 2 jam. Mau cancel ga bisa. Kasih lah tombol cance. Terus bisa milih lokasi toko. Jangan kayak sekarnag dipilihim.
2025-01-29 15:19:30,5,"Memudahkan saya berbelanja Pembayarannya mudah,produk lengkap,banyak promo Pelayanan ramah,tepat waktu,gratis ongkir jg tanpa minimal belanja.teruskan y alfagift Awas aja kalo lama2 ada biaya ongkirnya karena udah rame Jangan juga ada minimal belanja baru gratis ongkir.jangan gitu ya Terimakasih"
2025-02-11 10:14:49,5,"Waahhh ga rugi saya sering belanja di aplikasi ini.. Cocok banget buat anak kos mageran pengen beli ini itu ga perlu ke toko karena pengirimannya cepat, langsung cus diantar sampai depan rumah😍😍😍😍 udah promonya banyak, ketersediaan barangnya juga lengkap lagi."
2025-01-29 22:24:36,1,"Semenjak di update, transaksi di banking berhasil (saldo kepotong),tpi di aplikasi belom masuk (bahkan sampe di batalkan,krna ada batas waktunya),udah telfon ke 1500959 (ada tanggapan,tpi iya iya doang),sudah kirim file ke email (ga ada tanggapan), bahkan sampe hubungi lwat Instagram (jawaban nya mohon di tunggu udah mau seminggu),tolong butuh konfirmasi nya,kalo transaksi ga berhasil,jangan potong saldo banking.#2222745"
2025-01-25 20:13:56,3,"Kecewa banget sama aplikasinya, poin belanjanya ko gamasuk. Padahal sering banget belanja tapi poin gapernah bertambah. Terakhir dapet 03 januari 2025. Makin kesini ko poin ga nambah² mana dapet struk nya kosong gada transaksinya. Sampe coba belanja langsung juga tetep poinnya ga bertambah. Coba perbaiki lagi sistemnya."
2025-01-30 17:17:10,1,Dulunya bagus..setelah update..kenapa sudah masuk keranjang terus mau pembayaran loading terus gak bisa masuk ke pembayaran...akhirnya semua terbatalkan..tidak ada pemberitahuan kenapa batal...pesanan masuk tidak ada pembayaran karna aplikasi tidak bisa masuk ke pembayaran.
2025-01-31 11:23:58,5,"So far aplikasinya bagus, banyak macam2 barang yg bisa dibeli dan senengnya free ongkir ga kaya sebelah. Meskipun point dapatnya dikit tp bisa ngatur brp point yg mau ditukar. Kirim maps jg pas bgt, syg aja vouchernya aga susah dipake."
2025-01-27 13:22:59,2,"Ini kenapa ya aplikasinya kadang kadang ga bisa dibuka, ngelag gitu padahal selalu ku update soalnya buat belanja setiap bulan mudah, banyak promo bisa anter langsung ketempat juga, ku kira hp aku yg bermasalah tapi buat buka aplikasi yang lain di HP aman""saja, apa kadang emang suka eror aplikasinya ya. Mohon untuk diperbaiki lagi"
2025-02-11 12:34:03,1,"Fitur chat ini berguna ga sih, nyusahin karyawan tau gak dulu pas pake wa ga gini gini amat demi kebijakan pemerintah gini ya, fungsi telepon dari persentasi misal 10 pesanan paling cuman 1yang mau ngangkat chat in app, lokasinya konsumen pada ngawur ga akurat banget ini auto locatenya, pengiriman jadi late, mau di cancel nanti di alfacare, serba salah. Pasalnya ndak semua orang stay di aplikasi jadi mereka kadang ga bisa ngangkat telfon. Terima kasih."
2025-02-11 09:22:31,3,Tadi pagi saya buka aplikasi alfagift bisa..saya mau cek out terus bayar..tapi pas sampai pilih metode pembayaran aplikasi nya langsung eror..saya buka berapa kali cuma ada warna merah..sampai jam segini juga tidak bisa kebuka
2025-02-11 11:31:17,5,"Gimana yah, untuk pengiriman barang cepat, barang yang di kirim gak ada yang rusak, promosi juga dapetnya lumayan banyak, untuk barangnya lengkap dan gak ada yang kurang. Oke lah, tanpa sungkan langsung saya kasih rating 5 aja dah."
2025-01-24 14:49:12,1,Pas pertama kali bikin akun dan password udah sedang belanja nya enak dan gak repot. Pas udah 2 bulan gak pake saat mau buka untuk belanja udah masukan sandi password masa salah mulu padahal udah ketik benar kenapa di suruh bikin akun dan daftar baru ribet amat ini bikin kasal aja.
2025-02-13 09:11:20,5,"banyak promo, barang lengkap, dan pastinya kalo pas mager kalian bisa scroll dan langsung di antar sampai depan pintu apalagi pas musim hujan, sangat recommended bgt untuk membantu kita kalo butuh apa apa mendadak"
2025-01-22 13:44:39,1,Parah giliran ganti hp yg berbeda gak di ijinkan masuk padahal sudah masukin no hp dan paswat dengan benar. Harus di varipikasi lagi Aplikasi sangat ribet. Di tambah lagi harus mengijinkan alfagift menyimpan semua data di phonsel agar bisa masuk aplikasi. Bisa bisa di hangker semua data di hp ole alfagift. Bikin aplikasi jangan ribet ribet dan memaksa apa lagi harus mengijinkan penyimpanan semua data di phonsel di ketahu oleh alfagift. Kami mau belanja bukan mau jualan. Jadi di permudah lah
2025-01-25 06:40:03,1,"Tolong secepatnya pengembalian saldo saya. Kenapa transaksi berhasil, tapi setelah pembayaran berhasil transaksi gagal. Dan uang saya tertahan. Dan saya udah ajukan pengembalian tapi belum juga ada tanggapan. Kalau semisalnya sistem sedang ada gangguan tolong fitur nya dimatikan jangan dibiarkan aktif. Ini akan merugikan konsumen."
2025-02-11 17:21:15,5,"aplikasi) ""Aplikasi Alfagift sangat membantu dalam berbelanja di Alfamart. Fitur-fiturnya lengkap, navigasi mudah, dan sering ada promo menarik. Proses pemesanan juga cepat dan praktis. Terima kasih, Alfamart!"""
2025-02-11 08:35:32,5,.Member ponta digital yg luar biasa bisa digunakan untuk belanja Online sekaligus.dan lebih praktis dan sangat membantu konsumen 👍👍👍👍👍👍 .Sangat membantuan dengan promo tiap minggunya .barang selalu continue dan lengkap
2025-01-03 23:48:36,2,"Aplikasi nya bagus, mudah di gunakan.. Tapi akhir² ini lama banget pengiriman nya.. udah beberapa kali juga pas dateng barangnya kurang..!! tapi saya ga pernah komplain, sellu yaudah aja... mungkin salah saya juga ga di cek pas dateng.. soal-nya udah percaya bgt sama Alfagift. tapi klo di diemin terus bisa rugi..."
2024-12-22 13:42:17,1,"Kecewa dg pengiriman nya sangat lambat, saya pesan 1 jam pengiriman tp nyata nya Ampe 3 jam baru nyampe ke rumah padahal jarak GK begitu jauh, sudah 2 x seperti ini, tanpa melakukan konfirmasi LG ke pelanggan, beda dg pengiriman yg dulu dulu, dulu orang nya pada sopan, konfirmasi dulu kl mau terlmbat, itu pun gak pernah sampai 3 jam, tolong pengiriman seperti ini di tindak donk orang nya, alasan nya tidak melihat alamat, gimana si,, kecewa saya"
2025-02-06 18:01:23,2,Saya ingin melaporkan aplikasi saya setelah update..kenapa sudah masuk keranjang terus mau pembayaran loading terus gak bisa masuk ke pembayaran...akhirnya semua terbatalkan..tidak ada pemberitahuan kenapa batal...pesanan masuk tidak ada pembayaran karna aplikasi tidak bisa masuk ke pembayarannya. Saya sudah dm tapi masih tidak bisa
2025-02-10 22:02:25,5,Sesuai dengan slogannya alfamart belanja puas harga pas.. sangat mudah dalam pemesanan dan tentunya banyak promonya dan kecepatan pengirimannya number one.👍
